종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
"037730","3R ","940","100","11.90",,,,,"0","0.00"
"060310","3S ","2480","160","6.90","420","5.90",,,"0","0.00"
"036360","3SOFT ","1100","80","7.84","70","15.71",,,"0","0.00"
"005760","ACTS ","455","35","8.33",,,"51","8.92","0","0.00"
"015670","AP우주통신 ","610","45","7.96",,,"312","1.96","0","0.00"
"015675","AP우주통신(1우B) ","340","30","9.68",,,,,"0","0.00"
"036820","BET ","1060","80","8.16",,,,,"0","0.00"
"004560","BNG스틸 ","2850","105","3.83","45","63.33","4278","0.67","0","0.00"
"004565","BNG스틸(1우) ","4300","-40","-0.92",,,,,"0","0.00"
"001460","BYC (락)","56800","0","0.00","22697","2.50","219558","0.26","500","0.88"
"001465","BYC(1우) ","26150","-50","-0.19",,,,,"550","2.10"
"023460","C&H캐피탈 ","1350","0","0.00","209","6.46",,,"0","0.00"
"045260","CHK한강 ","1130","120","11.88","107","10.56",,,"0","0.00"
"001040","CJ ","44700","-1100","-2.40","1981","22.56","42191","1.06","750","1.68"
"001045","CJ(1우) ","20000","-1600","-7.41",,,,,"800","4.00"
"001047","CJ(2우B) ","26550","50","0.19",,,,,"750","2.82"
"001049","CJ(3우B) ","26800","750","2.88",,,,,"750","2.80"
"049370","CJ엔터테인 ","10900","750","7.39","984","11.08",,,"0","0.00"
"051500","CJ푸드시스템 ","10500","100","0.96","799","13.14",,,"0","0.00"
"035760","CJ홈쇼핑 ","47300","5000","11.82","2810","16.83",,,"0","0.00"
"004530","CKF ","4545","190","4.36",,,,,"0","0.00"
"050470","CMS ","850","50","6.25","126","6.75",,,"0","0.00"
"065340","DM테크놀로지 ","8700","-80","-0.91","579","15.03",,,"0","0.00"
"014820","EASTEL ","1975","95","5.05",,,"1477","1.34","0","0.00"
"014825","EASTEL(1우) ","1010","35","3.59",,,,,"0","0.00"
"014827","EASTEL(2우B) ","4470","170","3.95",,,,,"0","0.00"
"037370","EG ","5050","380","8.14","125","40.40",,,"0","0.00"
"007700","F&F ","3610","-30","-0.82","775","4.66","6330","0.57","100","2.77"
"001370","FnC코오롱 ","12350","350","2.92",,,"7780","1.59","0","0.00"
"001375","FnC코오롱(1우) ","6360","-30","-0.47",,,,,"0","0.00"
"053870","GT&T ","1270","90","7.63","199","6.38",,,"0","0.00"
"060910","I.S하이텍 ","1920","200","11.63","272","7.06",,,"0","0.00"
"038710","ICM ","1890","130","7.39","340","5.56",,,"0","0.00"
"004020","INI스틸 ","5480","-320","-5.52","362","15.14","12960","0.42","150","2.74"
"004025","INI스틸(1우B) ","3845","115","3.08",,,,,"0","0.00"
"036670","KCI ","2390","60","2.58","215","11.12",,,"0","0.00"
"009070","KCTC ","34950","400","1.16","3775","9.26","223205","0.16","750","2.15"
"054020","KDN스마텍 ","1850","190","11.45","293","6.31",,,"0","0.00"
"017300","KDS ","245","10","4.26",,,,,"0","0.00"
"006200","KEC ","40000","0","0.00","4363","9.17","36657","1.09","1000","2.50"
"046810","KEPS ","1220","80","7.02","273","4.47",,,"0","0.00"
"060720","KH바텍 ","63500","3800","6.37","2870","22.13",,,"0","0.00"
"018590","KNC ","580","50","9.43",,,"1798","0.32","0","0.00"
"030200","KT ","49900","-800","-1.58","3482","14.33","30633","1.63","720","1.44"
"030210","KTB네트워크 ","2450","285","13.16","295","8.31","8296","0.30","150","6.12"
"032390","KTF ","29700","1500","5.32","2568","11.57",,,"0","0.00"
"060370","KT서브마린 ","11050","500","4.74","4376","2.53",,,"0","0.00"
"003550","LGCI ","7260","-120","-1.63","3124","2.32","15098","0.48","250","3.44"
"003555","LGCI(1우) ","4970","10","0.20",,,,,"300","6.04"
"002610","LGEI ","13250","-150","-1.12","5891","2.25","3918","3.38","750","5.66"
"002615","LGEI(1우) ","7760","-40","-0.51",,,,,"800","10.31"
"017940","LG가스 ","17800","-150","-0.84","3214","5.54","37538","0.47","1250","7.02"
"006360","LG건설 ","12150","650","5.65","3009","4.04","14908","0.81","800","6.58"
"016990","LG마이크론 ","33350","1950","6.21","1727","19.31",,,"0","0.00"
"010120","LG산전 ","1440","40","2.86",,,"3602","0.40","0","0.00"
"001120","LG상사 ","4820","120","2.55","576","8.37","7216","0.67","400","8.30"
"068870","LG생명과학 ","17500","450","2.64",,,,,"0","0.00"
"068875","LG생명과학(1우) ","35200","-50","-0.14",,,,,"0","0.00"
