종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"037730","3R","KOSDAQ",,"480","0","0.00","490","495","475","2104843","1017311230","22510454400","46896780"
"060310","3S","KOSDAQ",,"365","5","1.39","365","375","360","136629","49988965","4380000000","12000000"
"036360","3SOFT","KOSDAQ",,"1335","140","11.72","1335","1335","1285","227505","302910735","7787506230","5833338"
"005760","ACTS","KOSPI",,"345","0","0.00","350","350","340","792711","274182895","16620147990","48174342"
"039790","AMIC","KOSDAQ",,"875","-10","-1.13","885","900","865","165090","145053630","22575000000","25800000"
"015670","AP우주통신","KOSPI",,"740","-125","-14.45","740","740","740","1450996","1073737040","16350168280","22094822"
"015675","AP우주통신(1우B)","KOSPI",,"815","-40","-4.68","835","855","750","9629","7745985","292355985","358719"
"036820","BET","KOSDAQ",,"730","-5","-0.68","740","755","730","436225","322825325","21602454190","29592403"
"036825","BET우","KOSDAQ",,"635","-50","-7.30","695","740","635","234769","159737590","1905000000","3000000"
"004560","BNG스틸","KOSPI",,"8950","-50","-0.56","9050","9150","8900","33870","305954300","112016508450","12515811"
"004565","BNG스틸(1우)","KOSPI",,"4180","0","0.00","4220","4220","4080","1160","4781600","459181360","109852"
"001460","BYC","KOSPI",,"39600","-300","-0.75","39050","40500","39050","710","28280000","24734754000","624615"
"001465","BYC(1우)","KOSPI",,"20950","0","0.00","0","0","0","0","0","4512315750","215385"
"045260","CHK한강","KOSDAQ",,"650","0","0.00","630","670","630","22849","14834930","18151846700","27925918"
"001040","CJ","KOSPI",,"62600","500","0.81","62200","63300","61800","107248","6701340800","1402481385600","22403856"
"001045","CJ(1우)","KOSPI",,"24300","0","0.00","24300","24550","24000","15760","382827000","87180040800","3587656"
"001047","CJ(2우B)","KOSPI",,"43500","-250","-0.57","43000","43700","43000","970","42114000","41363062500","950875"
"001049","CJ(3우B)","KOSPI",,"41650","-150","-0.36","42200","42200","41050","910","37762500","35248644900","846306"
"049370","CJ엔터테인","KOSDAQ",,"19400","-400","-2.02","19800","19850","19300","50558","984449900","298099624000","15365960"
"051500","CJ푸드시스템","KOSDAQ",,"5890","40","0.68","5760","5900","5760","9909","57503720","55241721000","9378900"
"035760","CJ홈쇼핑","KOSDAQ",,"52300","-500","-0.95","53400","53400","51600","41764","2186205600","431154453300","8243871"
"004530","CKF","KOSPI",,"3095","25","0.81","3000","3110","2915","130","391200","7417207735","2396513"
"050470","CMS","KOSDAQ",,"425","10","2.41","410","425","410","27076","11376860","3527500000","8300000"
"023460","CNH캐피탈","KOSDAQ",,"1860","70","3.91","1800","1860","1790","97760","175817930","40920000000","22000000"
"065340","DM테크놀로지","KOSDAQ",,"2550","5","0.20","2550","2610","2495","48688","122769925","14280000000","5600000"
"069730","DSR제강","KOSPI",,"570","15","2.70","565","570","560","42700","24278250","8208000000","14400000"
"014820","EASTEL","KOSPI",,"1700","20","1.19","1695","1720","1675","177425","301981500","51796552000","30468560"
"014825","EASTEL(1우)","KOSPI",,"985","25","2.60","960","1000","945","5400","5197450","2613776300","2653580"
"014827","EASTEL(2우B)","KOSPI",,"2145","0","0.00","0","0","0","0","0","274259700","127860"
"037370","EG","KOSDAQ",,"3315","75","2.31","3200","3345","3200","4510","14675725","14917500000","4500000"
"007700","F&F","KOSPI",,"2870","25","0.88","2815","2930","2815","114619","329839030","44198000000","15400000"
"001370","FnC코오롱","KOSPI",,"10400","250","2.46","10050","10600","9910","36391","374323000","119419123200","11482608"
"001375","FnC코오롱(1우)","KOSPI",,"5700","-90","-1.55","5700","5700","5550","1261","7133600","4130316900","724617"
"053870","GT&T","KOSDAQ",,"875","20","2.34","910","910","855","182759","159909820","3762500000","4300000"
"060910","I.S하이텍","KOSDAQ",,"1510","45","3.07","1460","1540","1460","59525","88938760","15534880000","10288000"
"038710","ICM","KOSDAQ",,"1110","0","0.00","1135","1135","1080","18147","19966635","5550000000","5000000"
"003560","IHQ","KOSPI",,"3700","30","0.82","3760","3770","3635","12952","47712350","22524401200","6087676"
"004020","INI스틸","KOSPI",,"10750","250","2.38","10700","10800","10450","720360","7668362000","1251277629250","116397919"
"004025","INI스틸(1우B)","KOSPI",,"5700","-50","-0.87","5750","6000","5620","2570","14719000","2374369200","416556"
"036670","KCI","KOSDAQ",,"1725","-25","-1.43","1800","1800","1690","972","1656375","10867500000","6300000"
"009070","KCTC","KOSPI",,"35600","0","0.00","0","0","0","0","0","14240000000","400000"
"054020","KDN스마텍","KOSDAQ",,"1390","25","1.83","1375","1390","1370","71947","99607100","18292400000","13160000"
"017300","KDS","KOSPI",,"475","-10","-2.06","490","500","470","20647168","10023385450","84680668700","178275092"
"006200","KEC","KOSPI",,"40600","0","0.00","41300","41300","40150","22248","903017300","327024758200","8054797"
"046810","KEPS","KOSDAQ",,"825","70","9.27","750","840","750","185959","150106385","5158032000","6252160"
"001390","KG케미칼","KOSPI",,"480","15","3.23","465","480","460","2247597","1108508800","53575915200","111616490"
"060720","KH바텍","KOSDAQ",,"47800","-50","-0.10","47600","47950","47000","23612","1119322050","382400000000","8000000"
"018590","KNC","KOSPI",,"215","0","0.00","0","0","0","0","0","5209367655","24229617"
"030200","KT","KOSPI",,"45300","700","1.57","45050","45300","44800","1035171","46644642300","12903677820000","284849400"
"033780","KT&G","KOSPI",,"21150","450","2.17","20900","21150","20800","253468","5313847700","3774058811550","178442497"
"030210","KTB네트워크","KOSPI",,"3100","-40","-1.27","3170","3180","3080","231201","723330200","186973685200","60314092"
"055810","KTC텔레콤","KOSDAQ",,"2150","10","0.47","2170","2215","2100","79710","171308865","13741793800","6391532"
"032390","KTF","KOSDAQ",,"19700","600","3.14","19350","19800","19200","609111","11889004650","3765468224300","191140519"
"036030","KTH","KOSDAQ",,"7850","-100","-1.26","7980","7980","7770","96474","756756620","270825000000","34500000"
"060370","KT서브마린","KOSDAQ",,"6460","-40","-0.62","6500","6740","6400","6985","45383470","28294800000","4380000"
"003550","LG","KOSPI",,"8570","280","3.38","8550","8670","8430","842090","7191616600","2275099402130","265472509"
"003555","LG(1우)","KOSPI",,"5460","70","1.30","5490","5510","5400","30310","166057400","27843286380","5099503"
"017940","LG가스","KOSPI",,"20000","-600","-2.91","20150","20400","19950","610","12373500","137200000000","6860000"
"006360","LG건설","KOSPI",,"17850","0","0.00","17950","18000","17350","285570","5023101500","910350000000","51000000"
"016990","LG마이크론","KOSDAQ",,"66200","1800","2.80","66000","67000","65100","64762","4271344000","383960000000","5800000"
"010120","LG산전","KOSPI",,"12550","300","2.45","12150","12800","12100","252125","3177925250","376500000000","30000000"
"001120","LG상사","KOSPI",,"7880","-120","-1.50","8020","8020","7750","746977","5885621960","535840000000","68000000"
"068870","LG생명과학","KOSPI",,"34000","900","2.72","33900","34500","33650","222140","7550500000","475217660000","13976990"
"068875","LG생명과학(1우)","KOSPI",,"24900","950","3.97","24200","24950","24200","1490","36761000","5881778400","236216"
"051900","LG생활건강","KOSPI",,"30950","-150","-0.48","31100","31200","30350","71012","2182220400","483383197150","15618197"
"051905","LG생활건강(1우)","KOSPI",,"17200","0","0.00","17200","17200","17050","13200","227013000","36114788400","2099697"
"012990","LG석유화학","KOSPI",,"28900","1100","3.96","28000","28900","27800","591052","16740564300","1306280000000","45200000"
"035000","LG애드","KOSPI",,"21500","600","2.87","21000","21650","21000","33510","717094000","253117350000","11772900"
"006260","LG전선","KOSPI",,"14700","-100","-0.68","14800","14900","14700","71390","1057908000","473340000000","32200000"
"066570","LG전자","KOSPI",,"58600","0","0.00","58900","59200","58300","762789","44820672400","8180927011800","139606263"
"066575","LG전자(1우)","KOSPI",,"26300","350","1.35","26200","26400","26150","103042","2709220100","451991589600","17185992"
"032710","LG카드","KOSPI",,"3500","455","14.94","3340","3500","3290","16990103","57593059605","550192384000","157197824"
"032640","LG텔레콤","KOSDAQ",,"3750","115","3.16","3715","3765","3670","1019021","3781121740","1039794112500","277278430"
"005940","LG투자증권","KOSPI",,"9190","890","10.72","8570","9440","8550","9676933","88484254570","1122249431110","122116369"
"005945","LG투자증권(1우)","KOSPI",,"4260","315","7.98","4070","4445","4060","452136","1925530660","84650323680","19870968"
"028150","LG홈쇼핑","KOSDAQ",,"60200","0","0.00","60400","60400","60000","21552","1296447600","395062500000","6562500"
"002550","LG화재","KOSPI",,"5490","-40","-0.72","5580","5580","5470","186210","1028412300","329400000000","60000000"
"051910","LG화학","KOSPI",,"56800","1800","3.27","55400","56800","55000","558179","31156474200","3659343635200","64425064"
"051915","LG화학(1우)","KOSPI",,"25100","600","2.45","24800","25300","24600","45012","1124611700","217397400100","8661251"
"047420","LKFS","KOSDAQ",,"985","105","11.93","865","985","865","237343","231664675","7092000000","7200000"
"068150","MCS로직","KOSDAQ",,"5850","30","0.52","5770","5920","5700","116104","675877180","23985000000","4100000"
