종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","2690","-10","-0.37",,,,,"704","3.82","0","0.00"
"095570","AJ네트웍스 ","5350","-260","-4.63","1124","4.76",,,"7231","0.74","100","1.87"
"068400","AJ렌터카 ","10050","-100","-0.99","172","58.43",,,"11150","0.90","0","0.00"
"006840","AK홀딩스 ","46350","-1000","-2.11","8224","5.64",,,"63797","0.73","750","1.62"
"054620","APS홀딩스 ","3930","20","0.51","64","61.41",,,"11083","0.35","0","0.00"
"265520","AP시스템 ","23700","0","0.00","1812","13.08",,,"6964","3.40","150","0.63"
"211270","AP위성 ","7000","-20","-0.28",,,,,"5428","1.29","0","0.00"
"027410","BGF ","7210","90","1.26","575","12.54",,,"15719","0.46","35","0.49"
"282330","BGF리테일 ","185500","-1000","-0.54","8925","20.78",,,"30182","6.15","2680","1.44"
"138930","BNK금융지주 ","7040","140","2.03","1475","4.77",,,"23400","0.30","300","4.26"
"001460","BYC ","235500","500","0.21","10891","21.62",,,"485043","0.49","1000","0.42"
"001465","BYC우 ","137000","3000","2.24",,,,,,,"1050","0.77"
"001040","CJ ","101500","0","0.00","9180","11.06",,,"121743","0.83","1450","1.43"
"079160","CJ CGV ","34850","-550","-1.55",,,,,"5284","6.60","200","0.57"
"035760","CJ ENM ","187500","-4100","-2.14","12661","14.81",,,"126022","1.49","1200","0.64"
"000120","CJ대한통운 ","159000","-500","-0.31","1996","79.66",,,"116702","1.36","0","0.00"
"011150","CJ씨푸드 ","2855","20","0.71","60","47.58",,,"1710","1.67","0","0.00"
"011155","CJ씨푸드1우 ","36000","800","2.27",,,,,,,"0","0.00"
"001045","CJ우 ","52300","-300","-0.57",,,,,,,"1500","2.87"
"097950","CJ제일제당 ","280000","-500","-0.18","55416","5.05",,,"291963","0.96","3500","1.25"
"097955","CJ제일제당 우 ","125500","500","0.40",,,,,,,"3550","2.83"
"051500","CJ프레시웨이 ","27200","-550","-1.98","1154","23.57",,,"16496","1.65","200","0.74"
"037560","CJ헬로 ","7230","-60","-0.82","512","14.12",,,"13677","0.53","75","1.04"
"058820","CMG제약 ","3780","30","0.80","56","67.50",,,"955","3.96","0","0.00"
"023460","CNH ","1400","-20","-1.41","20","70.00",,,"2609","0.54","20","1.43"
"065770","CS ","3000","5","0.17","218","13.76",,,"1197","2.51","0","0.00"
"083660","CSA 코스믹 ","4170","0","0.00",,,,,"1196","3.49","0","0.00"
"000590","CS홀딩스 ","62700","300","0.48","5469","11.46",,,"189462","0.33","500","0.80"
"012030","DB ","950","18","1.93",,,,,"684","1.39","0","0.00"
"306620","DB금융스팩6호 ","2105","5","0.24",,,,,,,"0","0.00"
"322780","DB금융스팩7호 ","3510","810","30.00",,,,,,,"0","0.00"
"016610","DB금융투자 ","4865","35","0.72","1312","3.71",,,"15495","0.31","250","5.14"
"005830","DB손해보험 ","63300","1800","2.93","8413","7.52",,,"72003","0.88","2000","3.16"
"000990","DB하이텍 ","14850","250","1.71","2002","7.42",,,"12545","1.18","250","1.68"
"000995","DB하이텍1우 ","45400","700","1.57",,,,,,,"300","0.66"
"139130","DGB금융지주 ","8090","10","0.12","2233","3.62",,,"25684","0.31","360","4.45"
"001530","DI동일 ","88800","-3200","-3.48","14","6342.86",,,"198666","0.45","1500","1.69"
"068790","DMS ","5070","30","0.60","662","7.66",,,"6576","0.77","100","1.97"
"004840","DRB동일 ","5940","10","0.17","307","19.35",,,"17183","0.35","110","1.85"
"241520","DSC인베스트먼트 ","3620","-75","-2.03","302","11.99",,,"1717","2.11","0","0.00"
"155660","DSR ","4660","15","0.32","494","9.43",,,"9127","0.51","50","1.07"
"069730","DSR제강 ","4535","-35","-0.77","513","8.84",,,"9454","0.48","40","0.88"
"017940","E1 ","57600","-300","-0.52","13507","4.26",,,"180483","0.32","2000","3.47"
"245620","EDGC ","6650","-260","-3.76",,,,,"1235","5.38","0","0.00"
"037370","EG ","10100","-150","-1.46",,,,,"4525","2.23","0","0.00"
"079190","EMW ","2780","0","0.00",,,,,"813","3.42","0","0.00"
"007700","F&F ","79400","100","0.13","7089","11.20",,,"25593","3.10","650","0.82"
"130500","GH신소재 ","3320","-80","-2.35","41","80.98",,,"3619","0.92","0","0.00"
"114090","GKL ","19650","-450","-2.24","1257","15.63",,,"9087","2.16","710","3.61"
"032860","GMR 머티리얼즈 ","535","0","0.00",,,,,"256","2.09","0","0.00"
"078930","GS ","49950","-150","-0.30","9539","5.24",,,"89656","0.56","1900","3.80"
"083450","GST ","6410","-200","-3.03","1080","5.94",,,"8694","0.74","0","0.00"
"006360","GS건설 ","40500","350","0.87","7788","5.20",,,"44671","0.91","1000","2.47"
"001250","GS글로벌 ","2615","0","0.00","249","10.50",,,"4636","0.56","25","0.96"
"007070","GS리테일 ","34350","350","1.03","1566","21.93",,,"27116","1.27","650","1.89"
"078935","GS우 ","36500","-350","-0.95",,,,,,,"1950","5.34"
"028150","GS홈쇼핑 ","171000","5000","3.01","21838","7.83",,,"165849","1.03","7000","4.09"
"045890","GV ","2060","10","0.49",,,,,"1874","1.10","0","0.00"
"078150","HB테크놀러지 ","3375","25","0.75","88","38.35",,,"1960","1.72","20","0.59"
"012630","HDC ","15250","150","0.99","15943","0.96",,,"32167","0.47","150","0.98"
"039570","HDC아이콘트롤스 ","9740","-90","-0.92","1473","6.61",,,"12614","0.77","350","3.59"
"089470","HDC현대EP ","5440","60","1.12","275","19.78",,,"8849","0.61","60","1.10"
"294870","HDC현대산업개발 ","42800","-50","-0.12","5232","8.18",,,"41976","1.02","500","1.17"
"036640","HRS ","2570","-25","-0.96",,,,,"4376","0.59","30","1.17"
"082740","HSD엔진 ","3755","-15","-0.40",,,,,"7012","0.54","0","0.00"
"299170","IBKS제10호스팩 ","2140","-10","-0.47",,,,,,,"0","0.00"
"254120","IBKS제5호스팩 ","2295","0","0.00",,,,,,,"0","0.00"
"264850","IBKS제6호스팩 ","2180","-10","-0.46",,,,,,,"0","0.00"
"276920","IBKS제7호스팩 ","2160","10","0.47",,,,,,,"0","0.00"
"297570","IBKS제9호스팩 ","2935","0","0.00",,,,,,,"0","0.00"
"003560","IHQ ","1900","0","0.00",,,,,"1387","1.37","104","5.47"
"095340","ISC ","7750","10","0.13","1010","7.67",,,"11913","0.65","150","1.94"
"099520","ITX엠투엠 ","1545","10","0.65",,,,,"900","1.72","0","0.00"
"175330","JB금융지주 ","5650","70","1.25","1391","4.06",,,"15898","0.36","180","3.19"
