종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ",,"195","0","0.00","190","200","190","538533","103190540","3900000000","20000000"
"036360","3SOFT","KOSDAQ",,"445","0","0.00","465","465","435","46070","20467385","3893753115","8750007"
"005760","ACTS","KOSPI",,"1810","-15","-0.82","1830","1855","1795","37420","67922450","8719555540","4817434"
"039790","AMIC","KOSDAQ",,"470","-10","-2.08","490","490","470","2651","1289490","12126000000","25800000"
"015670","AP우주통신","KOSPI",,"270","10","3.85","265","280","265","3017240","824937600","5965601940","22094822"
"015675","AP우주통신(1우B)","KOSPI",,"375","25","7.14","350","400","340","26540","9864150","134519625","358719"
"036820","BET","KOSDAQ",,"545","-10","-1.80","540","555","505","20485","10821460","2022326050","3710690"
"036825","BET우","KOSDAQ",,"640","45","7.56","525","640","525","3000","1616685","106666240","166666"
"004560","BNG스틸","KOSPI",,"6510","-150","-2.25","6530","6770","6510","38990","255461000","81477929610","12515811"
"004565","BNG스틸(1우)","KOSPI",,"4300","-180","-4.02","4460","4460","4300","70","302650","472363600","109852"
"001460","BYC","KOSPI",,"42250","-450","-1.05","42600","43650","42250","1351","57500250","26389983750","624615"
"001465","BYC(1우)","KOSPI",,"24000","0","0.00","0","0","0","0","0","5169240000","215385"
"045260","CHK한강","KOSDAQ",,"300","30","11.11","270","300","270","864265","253608165","8377775400","27925918"
"001040","CJ","KOSPI",,"69300","-200","-0.29","69100","69700","68500","50449","3492597700","1661982191100","23982427"
"001045","CJ(1우)","KOSPI",,"35900","150","0.42","35000","35950","35000","6810","243084500","128796850400","3587656"
"001047","CJ(2우B)","KOSPI",,"53400","900","1.71","52500","53500","52500","1270","66979000","51399689400","962541"
"001049","CJ(3우B)","KOSPI",,"51900","1000","1.96","50900","51900","50900","1780","91904000","43923281400","846306"
"049370","CJ엔터테인","KOSDAQ",,"18400","50","0.27","18350","18450","18100","71515","1304927650","282733664000","15365960"
"037150","CJ인터넷","KOSDAQ",,"10250","200","1.99","10050","10450","9920","494822","5054856540","225743119750","22023719"
"051500","CJ푸드시스템","KOSDAQ",,"4575","30","0.66","4545","4580","4500","5947","26905795","42908467500","9378900"
"035760","CJ홈쇼핑","KOSDAQ",,"56100","5600","11.09","51500","56500","51400","360688","19560680300","462481163100","8243871"
"004530","CKF","KOSPI",,"2900","-75","-2.52","2975","2975","2900","2390","6952800","6949887700","2396513"
"050470","CMS","KOSDAQ",,"405","35","9.46","355","405","355","26142","9645275","9412067565","23239673"
"023460","CNH캐피탈","KOSDAQ",,"1025","0","0.00","1005","1025","1005","5002","5027050","38130000000","37200000"
"065340","DM테크놀로지","KOSDAQ",,"1740","0","0.00","1945","1945","1685","1252","2187025","9744000000","5600000"
"069730","DSR제강","KOSPI",,"615","10","1.65","610","625","600","141191","85800165","8856000000","14400000"
"017940","E1","KOSPI",,"23850","-150","-0.63","24450","24450","23700","2260","53922000","163611000000","6860000"
"014820","EASTEL","KOSPI",,"1020","130","14.61","905","1020","900","1619536","1589837370","31077931200","30468560"
"014825","EASTEL(1우)","KOSPI",,"640","75","13.27","580","640","550","152440","93299000","1698291200","2653580"
"014827","EASTEL(2우B)","KOSPI",,"1980","180","10.00","1855","1985","1850","990","1898250","253162800","127860"
"037370","EG","KOSDAQ",,"3670","40","1.10","3630","3710","3630","7606","27731090","16515000000","4500000"
"007700","F&F","KOSPI",,"1410","15","1.08","1400","1430","1365","98761","138306210","21714000000","15400000"
"001370","FnC코오롱","KOSPI",,"4760","-10","-0.21","4715","4830","4715","24703","117841030","57137136000","12003600"
"001375","FnC코오롱(1우)","KOSPI",,"3200","0","0.00","0","0","0","0","0","2318774400","724617"
"035000","G2R","KOSPI",,"17800","-200","-1.11","18000","18000","17800","12026","214234800","209557620000","11772900"
"078930","GS","KOSPI",,"23000","450","2.00","22500","23150","22350","655978","14981744000","2137053694000","92915378"
"078935","GS(1우)","KOSPI",,"14100","100","0.71","14000","14200","13750","8720","122630000","25166046600","1784826"
"053870","GT&T","KOSDAQ",,"610","10","1.67","615","615","550","11320","6245205","2623000000","4300000"
"060910","I.S하이텍","KOSDAQ",,"2180","20","0.93","2140","2180","2135","36524","78850155","22427840000","10288000"
"038710","ICM","KOSDAQ",,"2925","10","0.34","2900","3000","2900","3","8825","14625000000","5000000"
"003560","IHQ","KOSPI",,"1285","-25","-1.91","1270","1295","1250","138473","176104255","16999850960","13229456"
"004020","INI스틸","KOSPI",,"14550","750","5.43","13800","14550","13800","955190","13647082500","1329839721450","91397919"
"004025","INI스틸(1우B)","KOSPI",,"9200","10","0.11","9500","9500","8810","205","1888800","3832315200","416556"
"036670","KCI","KOSDAQ",,"1775","-25","-1.39","1710","1780","1710","3","5265","11182500000","6300000"
"009070","KCTC","KOSPI",,"33400","0","0.00","0","0","0","0","0","13360000000","400000"
"054020","KDN스마텍","KOSDAQ",,"530","10","1.92","555","570","515","965571","526524420","6974800000","13160000"
"017300","KDS","KOSPI",,"180","-10","-5.26","190","200","180","35470005","6626020600","32089516560","178275092"
"006200","KEC","KOSPI",,"19400","-500","-2.51","19600","19700","19050","19250","374358500","156263061800","8054797"
"046810","KEPS","KOSDAQ",,"480","25","5.49","455","480","445","6015","2712040","3001036800","6252160"
"001390","KG케미칼","KOSPI",,"480","-5","-1.03","470","485","470","305960","144910850","51360000000","107000000"
"060720","KH바텍","KOSDAQ",,"26400","-1000","-3.65","27500","27500","26200","108698","2892019250","211200000000","8000000"
"050120","KJ온라인","KOSDAQ",,"1440","70","5.11","1395","1490","1350","142137","199263335","9599040000","6666000"
"030200","KT","KOSPI",,"42400","100","0.24","42300","42800","41650","388400","16415079500","12077614560000","284849400"
"033780","KT&G","KOSPI",,"33000","-400","-1.20","33300","33400","33000","160594","5316866500","5789602401000","175442497"
"030210","KTB네트워크","KOSPI",,"1940","-35","-1.77","1950","1980","1930","301790","587832250","117009338480","60314092"
"055810","KTC텔레콤","KOSDAQ",,"885","-10","-1.12","880","900","875","64709","57274175","5881010850","6645210"
"032390","KTF","KOSPI",,"22400","550","2.52","21850","22900","21800","614187","13790353800","4174112745600","186344319"
"036030","KTH","KOSDAQ",,"4405","165","3.89","4390","4420","4240","63094","275476145","151972500000","34500000"
"058550","KTT텔레콤","KOSDAQ",,"155","5","3.33","150","160","150","901391","139646215","2216500000","14300000"
"060370","KT서브마린","KOSDAQ",,"6260","-10","-0.16","6270","6270","6180","3960","24747400","27418800000","4380000"
