종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","5730","590","11.48","17","337.06",,,"1169","4.90","0","0.00"
"013340","AJS ","695","-16","-2.25","6","115.83",,,"1066","0.65","0","0.00"
"068400","AJ렌터카 ","11300","-350","-3.00","910","12.42",,,"7647","1.48","0","0.00"
"006840","AK홀딩스 ","42200","850","2.06","22933","1.84",,,"33073","1.28","150","0.36"
"054620","AP시스템 ","9620","-380","-3.80","536","17.95",,,"3957","2.43","0","0.00"
"090470","AST젯텍 ","3330","-60","-1.77","419","7.95",,,"2937","1.13","50","1.50"
"138930","BS금융지주 ","16150","-150","-0.92","1869","8.64",,,"16833","0.96","330","2.04"
"001460","BYC ","188500","-1000","-0.53","39163","4.81",,,"396687","0.48","850","0.45"
"001465","BYC우 ","70100","0","0.00",,,,,,,"900","1.28"
"032040","C&S자산관리 ","3395","-5","-0.15","950","3.57",,,"3309","1.03","200","5.89"
"001040","CJ ","103000","-1000","-0.96","7801","13.20",,,"101632","1.01","650","0.63"
"079160","CJ CGV ","48000","-150","-0.31","2626","18.28",,,"16762","2.86","350","0.73"
"130960","CJ E&M ","31900","950","3.07","985","32.39",,,"31458","1.01","0","0.00"
"000120","CJ대한통운 ","90000","-1800","-1.96","4763","18.90",,,"100335","0.90","0","0.00"
"011150","CJ씨푸드 ","2480","35","1.43","158","15.70",,,"1080","2.30","0","0.00"
"011155","CJ씨푸드1우 ","6170","-90","-1.44",,,,,,,"0","0.00"
"035760","CJ오쇼핑 ","383800","-8200","-2.09","26577","14.44",,,"94726","4.05","2000","0.52"
"001045","CJ우 ","37700","-100","-0.26",,,,,,,"700","1.86"
"097950","CJ제일제당 ","259000","1000","0.39","18369","14.10",,,"206383","1.25","1800","0.69"
"097955","CJ제일제당 우 ","86500","-200","-0.23",,,,,,,"1850","2.14"
"051500","CJ프레시웨이 ","30800","900","3.01","1132","27.21",,,"13009","2.37","200","0.65"
"037560","CJ헬로비전 ","18850","400","2.17","1491","12.64",,,"9354","2.02","0","0.00"
"058820","CMG제약 ","976","-15","-1.51",,,,,"478","2.04","0","0.00"
"023460","CNH ","1190","-10","-0.83",,,,,"2353","0.51","25","2.10"
"065770","CS ","2700","-80","-2.88",,,,,"2672","1.01","0","0.00"
"159910","CS엘쏠라 ","7770","-310","-3.84","876","8.87",,,"4035","1.93","0","0.00"
"000590","CS홀딩스 ","35450","-500","-1.39","5708","6.21",,,"146972","0.24","0","0.00"
"056340","CU전자 ","254","-1","-0.39",,,,,"766","0.33","0","0.00"
"139130","DGB금융지주 ","17000","0","0.00","2039","8.34",,,"18823","0.90","330","1.94"
"068790","DMS ","2870","-30","-1.03",,,,,"5666","0.51","0","0.00"
"004840","DRB동일 ","8490","-200","-2.30","1555","5.46",,,"12043","0.70","40","0.47"
"155660","DSR ","3870","-35","-0.90","758","5.11",,,"5128","0.75","0","0.00"
"069730","DSR제강 ","3320","-60","-1.78","86","38.60",,,"6964","0.48","30","0.90"
"009730","DS제강 ","1265","-5","-0.39",,,,,"514","2.46","0","0.00"
"017940","E1 ","71800","-300","-0.42","15096","4.76",,,"154916","0.46","1600","2.23"
"037370","EG ","18350","-200","-1.08",,,,,"6680","2.75","50","0.27"
"079190","EMW ","3400","-110","-3.13",,,,,"1788","1.90","0","0.00"
"007700","F&F ","7060","-140","-1.94","526","13.42",,,"11083","0.64","100","1.42"
"114090","GKL ","40000","-250","-0.62","2328","17.18",,,"5358","7.47","1217","3.04"
"078930","GS ","56400","-200","-0.35","5217","10.81",,,"66978","0.84","1350","2.39"
"083450","GST ","5100","-50","-0.97","923","5.53",,,"4153","1.23","50","0.98"
"006360","GS건설 ","30250","0","0.00","2063","14.66",,,"72576","0.42","250","0.83"
"001250","GS글로벌 ","9100","-30","-0.33","906","10.04",,,"10444","0.87","125","1.37"
"007070","GS리테일 ","28400","100","0.35","1603","17.72",,,"19798","1.43","400","1.41"
"078935","GS우 ","29900","400","1.36",,,,,,,"1400","4.68"
"028150","GS홈쇼핑 ","291400","8800","3.11","16842","17.30",,,"104012","2.80","3000","1.03"
"053870","GT&T ","509","-4","-0.78",,,,,"838","0.61","0","0.00"
"041590","GemTech ","3460","-605","-14.88","350","9.89",,,"1339","2.58","0","0.00"
"035000","GⅡR ","7660","-40","-0.52","758","10.11",,,"6815","1.12","200","2.61"
"032800","G러닝 ","677","1","0.15",,,,,"708","0.96","0","0.00"
"078150","HB테크놀러지 ","1545","65","4.39",,,,,"319","4.84","0","0.00"
"001500","HMC투자증권 ","10150","-50","-0.49","1051","9.66",,,"23166","0.44","150","1.48"
"036640","HRS ","3080","-25","-0.81","218","14.13",,,"3860","0.80","20","0.65"
"011420","IB월드와이드 ","2170","-70","-3.13","19","114.21",,,"1247","1.74","0","0.00"
