종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ",,"440","55","14.29","390","440","390","7115804","3004132960","13904000000","31600000"
"036360","3SOFT","KOSDAQ",,"6310","-310","-4.68","6710","6890","5870","4456988","28027894200","104660657250","16586475"
"005760","ACTS","KOSPI",,"9180","-120","-1.29","9000","9400","8750","220651","1987943180","52558217280","5725296"
"039790","AMIC","KOSDAQ",,"645","35","5.74","615","650","610","721446","456856680","20511000000","31800000"
"015670","AP우주통신","KOSPI",,"1855","240","14.86","1855","1855","1855","74183","137609225","7296850260","3933612"
"015675","AP우주통신(1우B)","KOSPI",,"6440","840","15.00","6420","6440","6400","4340","27857200","231009240","35871"
"067130","BH라이프","KOSDAQ",,"730","-15","-2.01","745","765","730","1452752","1084137445","15210790270","20836699"
"004560","BNG스틸","KOSPI",,"6920","-50","-0.72","6900","7070","6890","22663","158176960","86609412120","12515811"
"004565","BNG스틸(1우)","KOSPI",,"5530","-200","-3.49","5500","5530","5500","121","665930","607481560","109852"
"001460","BYC","KOSPI",,"110000","4000","3.77","109500","113000","106000","1179","129530000","68707650000","624615"
"001465","BYC(1우)","KOSPI",,"54000","-1500","-2.70","56900","56900","53500","200","10895000","11630790000","215385"
"045260","C","KOSDAQ",,"2510","215","9.37","2250","2635","2250","665409","1653429350","25573363410","10188591"
"065770","C&S마이크로","KOSDAQ",,"8950","-350","-3.76","9490","9780","8950","3049199","28777294230","107400000000","12000000"
"001040","CJ","KOSPI",,"76600","2800","3.79","73500","77200","73100","184964","13877749800","1840462608200","24026927"
"001045","CJ(1우)","KOSPI",,"46700","1250","2.75","46000","46750","45400","45660","2116515500","167543535200","3587656"
"001047","CJ(2우B)","KOSPI",,"64800","900","1.41","64700","64800","62500","5430","350945000","82568354400","1274203"
"001049","CJ(3우B)","KOSPI",,"60800","400","0.66","60700","61400","60500","5394","327712200","51455404800","846306"
"079160","CJCGV","KOSPI",,"24700","700","2.92","24200","24700","24150","274767","6709206300","509196625600","20615248"
"049370","CJ엔터테인","KOSDAQ",,"14750","50","0.34","14700","14950","14700","103989","1540127250","262911566750","17824513"
"037150","CJ인터넷","KOSDAQ",,"14700","450","3.16","14300","14750","14300","594516","8673326000","326985285900","22243897"
"051500","CJ푸드시스템","KOSDAQ",,"8100","0","0.00","7970","8160","7970","6917","55854430","75969090000","9378900"
"035760","CJ홈쇼핑","KOSDAQ",,"95000","2500","2.70","93200","95000","92300","92453","8679360600","783455975000","8246905"
"004530","CKF","KOSPI",,"7870","-1120","-12.46","8700","8710","7650","97600","799003700","18860557310","2396513"
"050470","CMS","KOSDAQ",,"1550","-90","-5.49","1625","1675","1550","803922","1294171835","36021493150","23239673"
"023460","CNH캐피탈","KOSDAQ",,"1790","35","1.99","1755","1800","1750","146253","260811855","66588000000","37200000"
"052350","CURON","KOSDAQ",,"3430","0","0.00","3460","3535","3425","259373","899174280","48664805700","14187990"
"065340","DM테크놀로지","KOSDAQ",,"1815","-40","-2.16","1820","1895","1805","56147","103226460","10164000000","5600000"
"069730","DSR제강","KOSPI",,"1900","10","0.53","1875","1930","1875","447041","853473350","27360000000","14400000"
"017940","E1","KOSPI",,"44700","1000","2.29","43400","44700","42900","4825","212687500","306642000000","6860000"
"047940","EBT네트웍스","KOSDAQ",,"705","-35","-4.73","745","755","705","7380993","5350368165","46272607320","65634904"
"037370","EG","KOSDAQ",,"5300","50","0.95","5170","5430","5170","70066","371340440","23850000000","4500000"
"080220","EMLSI","KOSDAQ",,"16300","250","1.56","16200","16350","15800","164561","2664873150","132252266800","8113636"
"007700","F&F","KOSPI",,"3695","145","4.08","3540","3700","3530","84070","305745200","56903000000","15400000"
"001370","FnC코오롱","KOSPI",,"14500","100","0.69","14400","14650","14000","89813","1287744000","174052200000","12003600"
"001375","FnC코오롱(1우)","KOSPI",,"6410","90","1.42","6350","6470","6310","4060","25966700","4644794970","724617"
"078930","GS","KOSPI",,"24100","200","0.84","23750","24300","23750","349268","8387952200","2239260609800","92915378"
"078935","GS(1우)","KOSPI",,"19300","200","1.05","19200","19300","18650","521","9994300","34447141800","1784826"
"006360","GS건설","KOSPI",,"44500","-250","-0.56","44750","45500","44300","115640","5181480500","2269500000000","51000000"
"028150","GS홈쇼핑","KOSDAQ",,"109300","-200","-0.18","109700","109700","108500","17748","1935909500","717281250000","6562500"
"053870","GT&T","KOSDAQ",,"3080","25","0.82","3010","3190","2990","64362","196487640","13244000000","4300000"
"035000","GⅡR","KOSPI",,"16200","-200","-1.22","16400","16450","16000","55011","901077200","190720980000","11772900"
"007640","HK저축은행","KOSDAQ",,"3025","-125","-3.97","3000","3135","2910","9238","27552035","51243714775","16940071"
"025340","HS창투","KOSDAQ",,"310","-5","-1.59","310","315","310","1130995","351455755","11801981790","38070909"
"007720","HS홀딩스","KOSDAQ",,"2250","-395","-14.93","2670","3040","2250","7638840","20702438220","73531440000","32680640"
"060910","I.S하이텍","KOSDAQ",,"1360","-10","-0.73","1375","1385","1335","122458","166177755","15079680000","11088000"
"038710","ICM","KOSDAQ",,"3735","485","14.92","3495","3735","3450","68537","251503075","18675000000","5000000"
"080570","IC코퍼레이션","KOSDAQ",,"18900","-2200","-10.43","23400","24250","18500","240746","5123672700","51291141300","2713817"
"003560","IHQ","KOSPI",,"8200","200","2.50","8050","8450","8000","590466","4860587800","303266446600","36983713"
"004020","INI스틸","KOSPI",,"24500","1300","5.60","23200","24900","23200","1131466","27589304000","2239249015500","91397919"
"004025","INI스틸(1우B)","KOSPI",,"19700","1100","5.91","19350","19700","19200","960","18497500","8206153200","416556"
"002380","KCC","KOSPI",,"203000","2000","1.00","202000","204500","199000","39248","7934738500","2135560000000","10520000"
"021320","KCC건설","KOSDAQ",,"26550","-150","-0.56","26700","26900","26300","18686","495123750","153990000000","5800000"
"036670","KCI","KOSDAQ",,"3470","-55","-1.56","3530","3600","3440","23601","82561425","21861000000","6300000"
"009070","KCTC","KOSPI",,"96200","-4300","-4.28","98100","101500","95600","991","97408600","38480000000","400000"
"068060","KCW","KOSDAQ",,"2220","50","2.30","2170","2220","2170","6859","15136515","12076800000","5440000"
"054020","KDN스마텍","KOSDAQ",,"1330","170","14.66","1180","1330","1180","6654626","8664969585","31181997630","23445111"
"017300","KDS","KOSPI",,"105","5","5.00","100","105","100","1679934","169830450","18718884660","178275092"
"006200","KEC","KOSPI",,"1805","30","1.69","1765","1810","1765","441690","793073200","145389085850","80547970"
"001390","KG케미칼","KOSPI",,"8700","-20","-0.23","8800","9000","8620","142567","1252228740","93090000000","10700000"
"060720","KH바텍","KOSDAQ",,"22700","-300","-1.30","22450","23000","22450","57975","1309956050","181600000000","8000000"
"050120","KJ온라인","KOSDAQ",,"8000","300","3.90","7600","8400","7600","127366","1027035230","53937648000","6742206"
"030200","KT","KOSPI",,"42200","300","0.72","42100","42550","41950","355115","15039899500","12020644680000","284849400"
"033780","KT&G","KOSPI",,"43700","1000","2.34","42000","44150","41850","572542","24958131750","7098737118900","162442497"
"030210","KTB네트워크","KOSPI",,"4140","135","3.37","4080","4310","4050","5061444","21244580860","249700340880","60314092"
"032390","KTF","KOSPI",,"22550","150","0.67","22400","22600","22200","1173518","26266002450","4150718043450","184067319"
"036030","KTH","KOSDAQ",,"6730","240","3.70","6550","6830","6550","207467","1400702940","232185000000","34500000"
"060370","KT서브마린","KOSDAQ",,"7920","270","3.53","7640","7920","7450","23562","180486450","34689600000","4380000"
"003550","LG","KOSPI",,"25500","-100","-0.39","25500","25650","25250","714330","18214255000","4400206840500","172557131"
"003555","LG(1우)","KOSPI",,"17600","100","0.57","18000","18000","17500","3059","53827900","58338315200","3314677"
"016990","LG마이크론","KOSDAQ",,"66800","-900","-1.33","66900","67600","66600","62938","4216136800","501000000000","7500000"
"001120","LG상사","KOSPI",,"17000","-100","-0.58","16950","17350","16900","283697","4864319500","1156000000000","68000000"
"068870","LG생명과학","KOSPI",,"37400","-600","-1.58","37500","38000","37300","186585","7003012300","619979426000","16576990"
"068875","LG생명과학(1우)","KOSPI",,"24950","-200","-0.80","25100","25100","24000","1440","34960000","5893589200","236216"
"051900","LG생활건강","KOSPI",,"56500","-500","-0.88","57000","57500","56000","115967","6539274500","882428130500","15618197"
"051905","LG생활건강(1우)","KOSPI",,"35050","-1400","-3.84","36500","36500","35050","5530","194138500","73594379850","2099697"
"012990","LG석유화학","KOSPI",,"27700","200","0.73","27250","27900","27100","85710","2370174000","1252040000000","45200000"
"066570","LG전자","KOSPI",,"69000","1300","1.92","68800","69400","68100","1681247","116030324400","9644850360000","139780440"
"066575","LG전자(1우)","KOSPI",,"43000","750","1.78","42950","43750","42900","44043","1905690000","738997656000","17185992"
"032710","LG카드","KOSPI",,"41200","3500","9.28","38500","41300","38400","646573","26009337300","5165219403600","125369403"
"032640","LG텔레콤","KOSDAQ",,"5340","190","3.69","5260","5520","5250","4188560","22530086820","1480666816200","277278430"
"034220","LG필립스LCD","KOSPI",,"39250","650","1.68","39450","40050","39050","749329","29660011250","14044266225000","357815700"
"002550","LG화재","KOSPI",,"13800","900","6.98","12850","13800","12850","724844","9699541200","828000000000","60000000"
"051910","LG화학","KOSPI",,"46150","450","0.98","45900","46450","45750","304270","14043328000","2973216703600","64425064"
"051915","LG화학(1우)","KOSPI",,"35500","500","1.43","35300","35600","34600","9794","346050000","307474410500","8661251"
"010120","LS산전","KOSPI",,"28050","-150","-0.53","27800","28300","27350","42630","1190087000","841500000000","30000000"
"006260","LS전선","KOSPI",,"28750","-500","-1.71","28750","29250","28550","88663","2567583250","925750000000","32200000"
"068150","MCS로직","KOSDAQ",,"3600","75","2.13","3500","3700","3475","89552","322673595","15120000000","4200000"
"076170","MK버팔로","KOSPI",,"1840","95","5.44","1745","1840","1745","1506340","2685032300","82003261600","44566990"
"035420","NHN","KOSDAQ",,"177500","4000","2.31","176400","180200","176000","131941","23536227300","2751391290000","15500796"
"008260","NI테크","KOSPI",,"1105","15","1.38","1090","1105","1080","420642","460139560","31411669250","28426850"
"005490","POSCO","KOSPI",,"217000","5500","2.60","216000","218000","212000","203413","44012703000","18919543195000","87186835"
"036530","S&TC","KOSPI",,"20700","300","1.47","20450","20850","20450","11080","228447500","155250000000","7500000"
"003570","S&T중공업","KOSPI",,"1480","35","2.42","1445","1480","1445","1206886","1769586530","238764806560","161327572"
"010950","S-Oil","KOSPI",,"78100","0","0.00","77500","78600","77300","216820","16921616000","8792716055200","112582792"
"010955","S-Oil(1우)","KOSPI",,"63700","200","0.31","63500","64600","63500","7060","452966000","256196749900","4021927"
"034120","SBS","KOSPI",,"38500","800","2.12","37700","38850","36500","150163","5712734000","1003892004500","26075117"
"046140","SBSi","KOSDAQ",,"12000","550","4.80","11600","12150","11600","119053","1415083700","135221196000","11268433"
"002360","SH케미칼","KOSPI",,"2720","-50","-1.81","2775","2870","2710","91150","252103350","24738565920","9095061"
"002365","SH케미칼(1우)","KOSPI",,"98900","0","0.00","0","0","0","0","0","61515800","622"
"009160","SIMPAC","KOSPI",,"1550","125","8.77","1440","1580","1440","2239734","3374607900","40300000000","26000000"
"025530","SJM","KOSPI",,"5030","115","2.34","4900","5030","4900","38421","192212730","89630279230","17819141"
"003600","SK","KOSPI",,"55400","1900","3.55","53500","55700","53300","914092","50299663200","7127405118800","128653522"
"003605","SK(1우)","KOSPI",,"45550","350","0.77","45200","46650","45200","595","27124250","80092660300","1758346"
"011790","SKC","KOSPI",,"10600","100","0.95","10450","10700","10450","320503","3389595800","345084303800","32555123"
"018670","SK가스","KOSPI",,"40000","0","0.00","40000","40500","38800","10010","399553000","345146600000","8628665"
"001740","SK네트웍스","KOSPI",,"15750","0","0.00","15750","16100","15750","43194","684314500","3734686068750","237122925"
"001745","SK네트웍스(1우)","KOSPI",,"16500","1500","10.00","15100","16500","14850","890","13757000","1875192000","113648"
"001510","SK증권","KOSPI",,"1200","30","2.56","1165","1205","1165","5589399","6661122100","384140605200","320117171"
"001515","SK증권(1우)","KOSPI",,"1745","15","0.87","1700","1770","1600","65170","111962000","6827336930","3912514"
"006120","SK케미칼","KOSPI",,"23550","1050","4.67","22350","23750","22350","352186","8175317300","418142896350","17755537"
