종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"069110","3H ","720","0","0.00",,,,,"1259","0.57","0","0.00"
"060310","3S ","545","-5","-0.91",,,,,"515","1.06","0","0.00"
"036360","3SOFT ","905","45","5.23",,,,,"737","1.23","0","0.00"
"013340","AJS ","955","60","6.70","93","10.27",,,"924","1.03","0","0.00"
"031860","A모션 ","365","15","4.29",,,,,"993","0.37","0","0.00"
"003990","BHK ","340","10","3.03",,,,,"835","0.41","0","0.00"
"004560","BNG스틸 ","4745","615","14.89","1285","3.69",,,"15700","0.30","250","5.27"
"004565","BNG스틸우 ","8480","-460","-5.15",,,,,,,"300","3.54"
"048550","BT&I ","1300","160","14.04",,,,,"1627","0.80","0","0.00"
"001460","BYC ","144500","0","0.00","14498","9.97",,,"282353","0.51","800","0.55"
"001465","BYC우 ","48950","4150","9.26",,,,,,,"850","1.74"
"065770","C&S마이크로 ","1385","75","5.73","477","2.90",,,"4536","0.31","100","7.22"
"000790","C&상선 ","205","20","10.81","100","2.05",,,"850","0.24","0","0.00"
"013200","C&우방 ","595","-5","-0.83","254","2.34",,,"10839","0.05","0","0.00"
"084680","C&우방랜드 ","185","20","12.12","14","13.21",,,"2777","0.07","0","0.00"
"008400","C&중공업 ","1120","145","14.87",,,,,"4530","0.25","0","0.00"
"008405","C&중공업우 ","305000","0","0.00",,,,,,,"0","0.00"
"001040","CJ ","35000","1000","2.94","1651","21.20",,,"71669","0.49","0","0.00"
"079160","CJ CGV ","15600","-300","-1.89","589","26.49",,,"3138","4.97","350","2.24"
"001047","CJ2우B ","32800","-200","-0.61",,,,,,,"0","0.00"
"001049","CJ3우B ","27150","150","0.56",,,,,,,"0","0.00"
"001045","CJ우 ","11100","100","0.91",,,,,,,"0","0.00"
"037150","CJ인터넷 ","8730","610","7.51","1134","7.70",,,"8568","1.02","150","1.72"
"097950","CJ제일제당 ","156500","8500","5.74",,,,,,,"0","0.00"
"097957","CJ제일제당 2우B ","144500","4500","3.21",,,,,,,"0","0.00"
"097959","CJ제일제당 3우B ","122000","2000","1.67",,,,,,,"0","0.00"
"097955","CJ제일제당 우 ","39900","-1600","-3.86",,,,,,,"0","0.00"
"051500","CJ프레시웨이 ","4630","-150","-3.14","56","82.68",,,"7721","0.60","0","0.00"
"035760","CJ홈쇼핑 ","37550","1000","2.74","2889","13.00",,,"43449","0.86","1500","3.99"
"035710","CL ","235","-15","-6.00",,,,,"1717","0.14","0","0.00"
"050470","CMS ","120","15","14.29",,,,,"986","0.12","0","0.00"
"023460","CNH캐피탈 ","1325","-10","-0.75","24","55.21",,,"3040","0.44","20","1.51"
"064060","CTC ","550","25","4.76",,,,,"8033","0.07","0","0.00"
"068790","DMS ","5110","10","0.20","428","11.94",,,"8234","0.62","0","0.00"
"065340","DM테크놀로지 ","785","70","9.79","477","1.65",,,"4140","0.19","0","0.00"
"069730","DSR제강 ","1700","85","5.26","338","5.03",,,"2451","0.69","25","1.47"
"017940","E1 ","65700","1400","2.18","10892","6.03",,,"89196","0.74","1500","2.28"
"037370","EG ","7310","260","3.69","587","12.45",,,"4351","1.68","50","0.68"
"080220","EMLSI ","1315","45","3.54",,,,,"6207","0.21","0","0.00"
"079190","EMW안테나 ","1785","70","4.08","364","4.90",,,"5085","0.35","0","0.00"
"007700","F&F ","2705","165","6.50","844","3.20",,,"6647","0.41","150","5.55"
"001370","FnC코오롱 ","9940","510","5.41","2078","4.78",,,"8113","1.23","350","3.52"
"001375","FnC코오롱우 ","5460","-60","-1.09",,,,,,,"400","7.33"
"076170","GBS ","370","45","13.85",,,,,"1243","0.30","0","0.00"
